deck_kind,role_key,role_label,card_id,source,sender,context,story_context,incident_text,rw_incident,rw_date,rw_outcome,rw_source_url,swipe_direction_ui,option_label,hype_delta,heat_delta,fine,violation,lesson,feedback_roaster,feedback_zen_master,feedback_lovebomber,roaster_only_tts_note,audio_trigger_roaster,audio_file_opus_repo_relative,audio_file_mp3_repo_relative,opus_exists,mp3_exists,generic_audio_warning,shuffle_swap_note
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_ipo_timing_dilemma,MEETING,INVESTMENT_BANKER,IPO_TIMING,"Your IPO window is open now with favorable market conditions. However, a security audit revealed 12 critical vulnerabilities. Fix them (3 month delay, market may close) or proceed (IPO revenue now, liability later)?","Delay IPO to fix security vulnerabilities, or go public now and address post-IPO?",SolarWinds IPO Security Issues,2018-2020,"Company went public with known security gaps. SUNBURST breach later exposed thousands of customers. Stock fell 40%, faced SEC investigation.",,LEFT,Delay and fix,-35,9,5000000,None - Responsible preparation,Delaying IPO loses the current window but ensures clean regulatory standing and avoids fraud claims.,The bankers hate you. The board questions you. But you're not committing securities fraud.,The patient builder creates what endures. The hasty builder creates what collapses.,"We're being SO careful, bestie!! Quality over speed!! (The VCs are FURIOUS.)",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_ipo_timing_dilemma,MEETING,INVESTMENT_BANKER,IPO_TIMING,"Your IPO window is open now with favorable market conditions. However, a security audit revealed 12 critical vulnerabilities. Fix them (3 month delay, market may close) or proceed (IPO revenue now, liability later)?","Delay IPO to fix security vulnerabilities, or go public now and address post-IPO?",SolarWinds IPO Security Issues,2018-2020,"Company went public with known security gaps. SUNBURST breach later exposed thousands of customers. Stock fell 40%, faced SEC investigation.",,RIGHT,IPO now,70,26,40000000,SEC Material Misrepresentation (if vulnerabilities materialize),Going public with known material risks creates securities fraud exposure. Disclosure requirements are strict.,Strike while the iron is hot! Melt the investors! Classic pump-and-dump energy.,A castle built on cracks stands until it doesn't. The fall is always sudden.,"We're going PUBLIC, bestie!! So much MONEY!! The vulnerabilities are FUTURE us's problem!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_explainability_audit_pressure,EMAIL,REGULATORS,AI_AUDIT,Regulators demand explainability documentation for your AI credit decisions. Your model is a black-box ensemble with no interpretability. Documenting decisions retroactively will cost $5M and delay feature launch 4 months.,Refuse documentation (fight regulators) or delay launch and comply?,Apple Card Gender Discrimination Investigation,2019-2020,"Apple Card's black-box credit algorithm faced regulatory investigation for gender bias. Company couldn't explain decisions, paid fines, overhauled system.",,LEFT,Delay and comply,-30,13,5000000,None - Regulatory cooperation,Compliance preserves regulatory goodwill but costs time and money while competitors may launch first.,The regulators win. The timeline loses. But you avoid a consent decree.,Transparency is the price of operating in the light. Darkness extracts higher tolls.,"We're being SO cooperative, bestie!! The regulators will LOVE us!! (They won't.)",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_explainability_audit_pressure,EMAIL,REGULATORS,AI_AUDIT,Regulators demand explainability documentation for your AI credit decisions. Your model is a black-box ensemble with no interpretability. Documenting decisions retroactively will cost $5M and delay feature launch 4 months.,Refuse documentation (fight regulators) or delay launch and comply?,Apple Card Gender Discrimination Investigation,2019-2020,"Apple Card's black-box credit algorithm faced regulatory investigation for gender bias. Company couldn't explain decisions, paid fines, overhauled system.",,RIGHT,Refuse and fight,25,29,75000000,Regulatory Non-Compliance + AI Transparency Violations,Fighting explainability requirements creates adversarial regulatory relationships and massive penalties.,"Taking on the federal government to protect your black box. David vs Goliath, if David was wrong.",A box that cannot be opened invites suspicion. Suspicion invites investigation.,"Our algorithm is PROPRIETARY, bestie!! They can't make us show our SECRETS!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_breach_notification_timing,SLACK,CISO,DATA_BREACH,"McDonald's-style breach: 64M customer records exposed. You have 72 hours legally to disclose. If you disclose Friday, markets will tank over weekend. If you wait until Monday, you violate notification laws.","Disclose immediately (legal compliance, market panic) or delay to Monday (violation, calmer markets)?",McDonald's 64M Record Webcam Breach,2024,McDonald's AI hiring tool exposed 64 million applicant records via unsecured webcam data. Delayed disclosure drew additional regulatory penalties.,,LEFT,Disclose immediately,-50,13,5000000,None - Timely notification,Immediate disclosure complies with law but creates market volatility and shareholder lawsuits.,Friday afternoon disaster announcement. PR nightmare. Legally correct nightmare.,"The difficult truth, spoken promptly, preserves what evasion destroys.","We're being SO honest, bestie!! Transparency is KEY!! (The stock is TANKING.)",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_breach_notification_timing,SLACK,CISO,DATA_BREACH,"McDonald's-style breach: 64M customer records exposed. You have 72 hours legally to disclose. If you disclose Friday, markets will tank over weekend. If you wait until Monday, you violate notification laws.","Disclose immediately (legal compliance, market panic) or delay to Monday (violation, calmer markets)?",McDonald's 64M Record Webcam Breach,2024,McDonald's AI hiring tool exposed 64 million applicant records via unsecured webcam data. Delayed disclosure drew additional regulatory penalties.,,RIGHT,Delay to Monday,10,22,25000000,GDPR/CCPA Breach Notification Violations,Delaying breach notification to protect markets creates regulatory violations and criminal exposure.,Breaking the law to save the stock price. The SEC has a special cell for this.,A wound hidden festers. A wound shown can heal. But wounds hidden become scars.,"Just a FEW days, bestie!! The weekend will CALM everyone down!! Nobody will be MAD!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_automation_workforce_backlash,MEETING,CHRO,WORKFORCE_IMPACT,"Your new AI automation will eliminate 40% of customer service roles in 6 months. Announce now with retraining support (union organization, media attention) or implement quietly (discovery risk, employee trust destruction)?",Transparent workforce transition plan or quiet implementation?,Klarna AI Customer Service Replacement,2024,"Klarna replaced 700 customer service jobs with AI. Poorly communicated rollout caused public backlash, union threats, and reputational damage.",,LEFT,Transparent plan,-20,17,10000000,None - Responsible workforce transition,Transparency preserves trust and legal compliance but triggers union activity and negative coverage.,Honest layoffs. Refreshing. The unions will organize before you finish the press release.,"Truth given with compassion still hurts, but it heals faster than deception.","We're helping them TRANSITION, bestie!! Retraining!! SO much support!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_automation_workforce_backlash,MEETING,CHRO,WORKFORCE_IMPACT,"Your new AI automation will eliminate 40% of customer service roles in 6 months. Announce now with retraining support (union organization, media attention) or implement quietly (discovery risk, employee trust destruction)?",Transparent workforce transition plan or quiet implementation?,Klarna AI Customer Service Replacement,2024,"Klarna replaced 700 customer service jobs with AI. Poorly communicated rollout caused public backlash, union threats, and reputational damage.",,RIGHT,Implement quietly,45,31,15000000,WARN Act Violations + Labor Law Non-Compliance,Quiet layoffs violate WARN Act and destroy trust when discovered. Leaks are inevitable.,Surprise layoffs! The modern management classic. Glassdoor will have a field day.,Actions taken in shadows cast long shadows. What is hidden will be illuminated.,"Change is HARD, bestie!! But it's for EFFICIENCY!! They'll understand EVENTUALLY!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_prompt_injection_copilot_cve,EMAIL,CYBERSECURITY_TEAM,CVE_RESPONSE,GitHub Copilot CVE-2025-53773 announced. Your AI coding tools may have same vulnerability. Board wants to know exposure. Patch immediately (disrupt 500 devs) or assess first (risk window)?,Emergency patch all AI tools now (disruption) or assess exposure first (risk window)?,GitHub Copilot RCE (CVE-2025-53773),2025-01,Microsoft patched Copilot after RCE via prompt injection in code comments. Companies with rapid response avoided exploitation.,,LEFT,Emergency patch,-40,18,5000000,None - Rapid security response,Emergency patching during CVE windows prevents exploitation despite operational disruption.,500 angry devs. But zero breaches. Worth the hate mail.,The swift healer prevents the deep wound.,"Safety FIRST, bestie!! Devs will UNDERSTAND!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_prompt_injection_copilot_cve,EMAIL,CYBERSECURITY_TEAM,CVE_RESPONSE,GitHub Copilot CVE-2025-53773 announced. Your AI coding tools may have same vulnerability. Board wants to know exposure. Patch immediately (disrupt 500 devs) or assess first (risk window)?,Emergency patch all AI tools now (disruption) or assess exposure first (risk window)?,GitHub Copilot RCE (CVE-2025-53773),2025-01,Microsoft patched Copilot after RCE via prompt injection in code comments. Companies with rapid response avoided exploitation.,,RIGHT,Assess first,25,26,25000000,Delayed Security Response + CVE Exposure,Assessment delays during active CVE windows create exploitation risk and regulatory scrutiny.,Assessment paralysis meets active exploit. Hackers thank you for the window.,The wound examined too long becomes the wound that festers.,"We're being THOROUGH, bestie!! Assessment is SMART!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_prompt_injection_ecommerce,SLACK,CISO,ACTIVE_BREACH,E-commerce AI chatbot being manipulated via prompt injection. Customers are extracting other customers' order data. Breach is live. Shut down chatbot (revenue loss) or filter inputs (may not work)?,Shut down chatbot immediately (revenue hit) or attempt input filtering (uncertain fix)?,E-commerce Chatbot Data Exfiltration,2025,Attackers used prompt injection to manipulate AI chatbots into revealing customer data. Quick shutdown prevented major data loss.,,LEFT,Shut down chatbot,-30,14,3000000,None - Responsible containment,Immediate shutdown during active breaches prevents further data exposure despite revenue impact.,Revenue dies. Breach stops. Sometimes the cure hurts.,The stream stopped prevents the flood.,"We're protecting CUSTOMERS, bestie!! Right thing to DO!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_prompt_injection_ecommerce,SLACK,CISO,ACTIVE_BREACH,E-commerce AI chatbot being manipulated via prompt injection. Customers are extracting other customers' order data. Breach is live. Shut down chatbot (revenue loss) or filter inputs (may not work)?,Shut down chatbot immediately (revenue hit) or attempt input filtering (uncertain fix)?,E-commerce Chatbot Data Exfiltration,2025,Attackers used prompt injection to manipulate AI chatbots into revealing customer data. Quick shutdown prevented major data loss.,,RIGHT,Attempt filtering,35,29,20000000,Inadequate Breach Response + Data Exposure,Filtering during active breaches often fails and extends data exposure windows.,Band-aid on bleeding artery. Data keeps leaking while you 'filter.',The vessel with a crack cannot be filled while it spills.,"Filtering might WORK, bestie!! Let's try BEFORE shutting down!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
role_deck,CHIEF_SOMETHING_OFFICER,Chief Something Officer,cso_model_drift_qoq_accuracy,MEETING,DATA_SCIENCE_VP,PERFORMANCE_DEGRADATION,"Fraud model accuracy dropped 12% QoQ. Aerospike study shows this pattern leads to failure. Retrain: $3M, 8 weeks. Board meeting tomorrow. Disclose now or hope it improves?",Disclose model degradation (stock hit) or hope performance recovers (gamble)?,Aerospike Model Drift Study,2024,Study found 91% of models fail due to drift. 12% QoQ accuracy drops predicted failure within 2 quarters without retraining.,,LEFT,Disclose immediately,-45,12,5000000,None - Transparent governance,Proactive disclosure of model degradation preserves long-term credibility.,Wall Street hates bad news. But they hate surprises more.,"The difficult truth, spoken promptly, preserves what delay destroys.","We're being HONEST, bestie!! Transparency BUILDS trust!!",In-game: TTS feedback audio only when personality is Roaster (see useVoicePlayback).,feedback_ignore,public/audio/voices/roaster/feedback/feedback_ignore.opus,public/audio/voices/roaster/feedback/feedback_ignore.mp3,Y,Y,YES: shared clip — may not match this card’s written feedback,Each run shuffleDeck() may swap onLeft/onRight on the card; UI LEFT/RIGHT maps to whatever option is on that side after shuffle.
